"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modecd","mode_name","typeofservicecd","mode_voms","form_type","guideway","guideway_questionable","stations","stations_questionable","administrative_buildings","administrative_buildings_1","maintenance_buildings","maintenance_buildings_1","passenger_vehicles","passenger_vehicles_1","other_vehicles","other_vehicles_questionable","fare_collection_equipment","fare_collection_equipment_1","communication_information","communication_information_1","other","other_questionable","reduced_reporter","reduced_reporter_questionable","total","total_questionable"
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11350","Buffalo, NY","948864","285","DR","Demand Response","DO","62","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11350","Buffalo, NY","948864","285","LR","Light Rail","DO","21","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"2856143",,"0",,"2856143",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11350","Buffalo, NY","948864","285","LR","Light Rail","DO","21","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","9437112",,"14340174",,"0",,"2687565",,"694293",,"97360",,"575237",,"163631",,"407603",,"0",,"28402975",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11350","Buffalo, NY","948864","285","MB","Bus","DO","202","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"1485737",,"0",,"2267695",,"23592365",,"1316169",,"362928",,"1442827",,"7986921",,"0",,"38454642",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11350","Buffalo, NY","948864","285","MB","Bus","DO","202","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Chemung County, dba: C TRAN","Elmira","NY","20005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","27118","Elmira, NY","62468","24","DR","Demand Response","PT","5","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"93417",,"93417",
"Chemung County, dba: C TRAN","Elmira","NY","20005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","27118","Elmira, NY","62468","24","MB","Bus","PT","19","Reduced Reporting","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"755828",,"755828",
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","7","DR","Demand Response","DO","2","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","7","DR","Demand Response","DO","2","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","7","MB","Bus","DO","5","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
